name	type	primary	secondary	equipment	mechanics	level	force
Kettlebell Sumo High Pull 	Strength	Traps	"Adductors,Glutes,Hamstrings,Quadriceps,Shoulders"	Kettlebells	Compound	Intermediate	Pull
Kettlebell Sumo Squat 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Kettlebells	Compound	Intermediate	Push
Kettlebell Thruster 	Strength	Shoulders	"Quadriceps,Triceps"	Kettlebells	Compound	Intermediate	Push
Kettlebell Turkish Get-Up (Lunge style) A.K.A Turkish Get Up 	Strength	Shoulders	"Abdominals,Hamstrings,Quadriceps,Triceps"	Kettlebells	Compound	Intermediate	Push
Kettlebell Turkish Get-Up (Squat style) A.K.A Turkish Get Up 	Strength	Shoulders	"Abdominals,Calves,Hamstrings,Quadriceps,Triceps"	Kettlebells	Compound	Intermediate	Push
Kettlebell Windmill 	Strength	Abdominals	"Glutes,Hamstrings,Shoulders,Triceps"	Kettlebells	Compound	Intermediate	Pull
Kipping Muscle Up 	Strength	Lats	"Abdominals,Biceps,Forearms,MiddleBack,Shoulders,Traps,Triceps"	Other	Compound	Intermediate	Pull
Knee Across The Body 	Stretching	Glutes	"Abductors,LowerBack"	None	N/A	Beginner	Static
Knee Circles 	Stretching	Calves	"Hamstrings,Quadriceps"	None	Compound	Beginner	Pull
Knee To Chest 	Stretching	Hamstrings	Glutes	None	Compound	Beginner	Pull
Knee Tuck Jump 	Plyometrics	Hamstrings	"Abductors,Adductors,Calves,Glutes,Quadriceps"	None	Compound	Beginner	Push
Knee/Hip Raise On Parallel Bars A.K.A Knee / Hip Raise On Parallel Bars 	Strength	Abdominals	N/A	Other	Isolation	Beginner	Pull
Kneeling Arm Drill 	Plyometrics	Shoulders	Abdominals	None	N/A	Beginner	Pull
Kneeling Cable Crunch With Alternating Oblique Twists A.K.A Kneeling Oblique Cable Crunch 	Strength	Abdominals	N/A	Cable	Isolation	Beginner	Pull
Kneeling Cable Triceps Extension 	Strength	Triceps	N/A	Cable	Isolation	Intermediate	Push
Kneeling Forearm Stretch 	Stretching	Forearms	N/A	None	Isolation	Beginner	Static
Kneeling High Pulley Row 	Strength	Lats	"Biceps,MiddleBack"	Cable	Compound	Beginner	Pull
Kneeling Hip Flexor 	Stretching	Quadriceps	Quadriceps	None	Isolation	Beginner	Static
Kneeling Jump Squat 	OlympicWeightlifting	Glutes	"Calves,Hamstrings,Quadriceps"	Barbell	Compound	Expert	Push
Kneeling Single-Arm High Pulley Row 	Strength	Lats	"Biceps,MiddleBack"	Cable	Compound	Beginner	Pull
Kneeling Squat 	Powerlifting	Glutes	"Abdominals,Hamstrings,LowerBack"	Barbell	Compound	Intermediate	Push
L-Sit Chin-Up 	Strength	Lats	"Abdominals,Biceps,Forearms"	Other	Compound	Expert	Pull
Landmine 180's A.K.A Russian Twist 	Strength	Abdominals	"Glutes,LowerBack,Shoulders"	Barbell	Compound	Beginner	Pull
Landmine Linear Jammer A.K.A Landmine Thruster 	Strength	Shoulders	"Abdominals,Calves,Chest,Hamstrings,Quadriceps,Triceps"	Barbell	Compound	Intermediate	Push
Lateral Band Walk 	Strength	Abductors	"Glutes,Quadriceps"	Bands	Compound	Beginner	Push
Lateral Bound 	Plyometrics	Adductors	"Abductors,Calves,Glutes,Hamstrings,Quadriceps"	None	Compound	Beginner	Push
Lateral Box Jump 	Plyometrics	Adductors	"Abductors,Calves,Glutes,Hamstrings,Quadriceps"	Other	Compound	Beginner	Push
Lateral Cone Hops 	Plyometrics	Adductors	"Abductors,Calves,Glutes,Hamstrings,Quadriceps"	Other	Compound	Beginner	Push
Lateral Hop 4 Times To Sprint 	Plyometrics	Quadriceps	"Calves,Glutes,Hamstrings"	Dumbbell	Compound	Beginner	N/A
Lateral Hop Holding Dumbbells 	Plyometrics	Quadriceps	Calves	Dumbbell	Compound	Beginner	Push
Lateral Raise - With Bands 	Strength	Shoulders	N/A	Bands	Isolation	Beginner	Push
Lateral Speed Step 	Cardio	Quadriceps	"Calves,Hamstrings"	None	Compound	Beginner	Push
Latissimus Dorsi-SMR A.K.A Lats-Foam Roll 	Stretching	Lats	N/A	Foam Roll	Isolation	Beginner	Static
Leg Extensions 	Strength	Quadriceps	N/A	Machine	Isolation	Beginner	Push
Leg Lift 	Strength	Glutes	Hamstrings	None	Isolation	Beginner	Push
Leg Press A.K.A Leg Presses 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Machine	Compound	Beginner	Push
Leg Pull-In A.K.A Reverse Crunch 	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Leg-Over Floor Press 	Strength	Chest	"Shoulders,Triceps"	Kettlebells	Compound	Intermediate	Push
Leg-Up Hamstring Stretch 	Stretching	Hamstrings	N/A	None	Isolation	Beginner	Push
Leverage Chest Press A.K.A Hammerstrength Chest Press 	Strength	Chest	"Shoulders,Triceps"	Machine	Compound	Beginner	Push
Leverage Deadlift A.K.A Leverage Squat 	Strength	Quadriceps	"Glutes,Hamstrings"	Machine	Compound	Beginner	Pull
Leverage Decline Chest Press A.K.A Hammerstrength Decline Chest Press 	Strength	Chest	"Shoulders,Triceps"	Machine	Compound	Beginner	Push
Leverage High Row A.K.A Hammerstrength High Row 	Strength	MiddleBack	Lats	Machine	Compound	Beginner	Pull
Leverage Incline Chest Press A.K.A Hammerstrength Incline Chest Press 	Strength	Chest	"Shoulders,Triceps"	Machine	Compound	Beginner	Push
Leverage Iso Row A.K.A Hammerstrength Iso Row 	Strength	Lats	"Biceps,MiddleBack"	Machine	Compound	Beginner	Pull
Leverage Shoulder Press A.K.A Hammerstrength Shoulder Press 	Strength	Shoulders	Triceps	Machine	Compound	Beginner	Push
Leverage Shrug A.K.A Hammerstrength Shrug 	Strength	Traps	Forearms	Machine	Isolation	Beginner	Pull
Linear 3-Part Start Technique 	Plyometrics	Hamstrings	"Calves,Quadriceps"	None	Compound	Beginner	Push
Linear Acceleration Wall Drill 	Plyometrics	Hamstrings	"Calves,Glutes,Quadriceps"	None	Compound	Beginner	N/A
Linear Depth Jump 	Plyometrics	Quadriceps	"Calves,Glutes,Hamstrings"	Other	Compound	Intermediate	Push
Log Lift A.K.A Log Clean And Press 	Strongman	Shoulders	"Abdominals,Chest,Glutes,Hamstrings,LowerBack,MiddleBack,Quadriceps,Traps,Triceps"	Other	Compound	Intermediate	Push
London Bridges 	Strength	Lats	"Biceps,Forearms,MiddleBack"	Other	Compound	Intermediate	Pull
Looking At Ceiling A.K.A Kneeling Quad Stretch 	Stretching	Quadriceps	N/A	None	Isolation	Beginner	Static
Low Cable Crossover 	Strength	Chest	Shoulders	Cable	Isolation	Beginner	Push
Low Cable Triceps Extension A.K.A Low Cable Tricep Extension 	Strength	Triceps	N/A	Cable	Isolation	Beginner	Push
Low Pulley Row To Neck A.K.A Face Pull 	Strength	Shoulders	"Biceps,MiddleBack,Traps"	Cable	Compound	Beginner	Pull
Lower Back Curl 	Stretching	Abdominals	N/A	None	N/A	Beginner	Static
"Lower Back-SMR A.K.A Foam Roll Erector Spinae, Lower Back Myofascial Release "	Stretching	LowerBack	N/A	Foam Roll	N/A	Beginner	Static
Lunge Pass Through 	Strength	Hamstrings	"Calves,Glutes,Quadriceps"	Kettlebells	Compound	Intermediate	Push
Lunge Sprint 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Machine	Compound	Intermediate	Push
Lying Bent Leg Groin 	Stretching	Adductors	N/A	Other	N/A	Expert	Static
Lying Cable Curl 	Strength	Biceps	N/A	Cable	Isolation	Intermediate	Pull
Lying Cambered Barbell Row 	Strength	MiddleBack	"Biceps,Lats,Traps"	Barbell	Isolation	Beginner	Pull
Lying Close-Grip Bar Curl On High Pulley 	Strength	Biceps	N/A	Cable	Isolation	Beginner	Pull
"Lying Close-Grip Barbell Triceps Extension Behind The Head A.K.A Skullcrusher, Skull Crusher "	Strength	Triceps	N/A	Barbell	Isolation	Intermediate	Push
Lying Close-Grip Barbell Triceps Press To Chin 	Strength	Triceps	N/A	E-Z Curl Bar	Isolation	Intermediate	Push
Lying Crossover 	Stretching	Abductors	N/A	None	N/A	Expert	Static
Lying Dumbbell Tricep Extension 	Strength	Triceps	"Chest,Shoulders"	Dumbbell	Isolation	Intermediate	Push
Lying Face Down Plate Neck Resistance 	Strength	Neck	N/A	Other	Isolation	Intermediate	Pull
Lying Face Up Plate Neck Resistance 	Strength	Neck	N/A	Other	Isolation	Intermediate	Pull
Lying Glute A.K.A PNF Glute Stretch 	Stretching	Glutes	Abductors	None	N/A	Expert	Static
Lying Hamstring A.K.A PNF Hamstring Stretch 	Stretching	Hamstrings	Calves	Other	N/A	Expert	Static
Lying High Bench Barbell Curl 	Strength	Biceps	N/A	Barbell	Isolation	Intermediate	Pull
Lying Leg Curls A.K.A Lying Hamstrings Curl 	Strength	Hamstrings	N/A	Machine	Isolation	Beginner	Pull
Lying Machine Squat 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Machine	Compound	Intermediate	Push
Lying One-Arm Lateral Raise 	Strength	Shoulders	N/A	Dumbbell	Isolation	Intermediate	Pull
Lying Prone Quadriceps 	Stretching	Quadriceps	N/A	None	N/A	Expert	N/A
Lying Rear Delt Raise 	Strength	Shoulders	N/A	Dumbbell	Isolation	Intermediate	Pull
Lying Supine Dumbbell Curl 	Strength	Biceps	N/A	Dumbbell	Isolation	Beginner	Pull
Lying T-Bar Row A.K.A Chest Supported Row 	Strength	MiddleBack	"Biceps,Lats"	Machine	Compound	Intermediate	Pull
"Lying Triceps Press A.K.A Skullcrusher, lying triceps extension "	Strength	Triceps	N/A	E-Z Curl Bar	Isolation	Intermediate	Push
Machine Bench Press A.K.A Chest Press 	Strength	Chest	"Shoulders,Triceps"	Machine	Compound	Beginner	Push
Machine Bicep Curl A.K.A Biceps Curl 	Strength	Biceps	N/A	Machine	Isolation	Beginner	Pull
Machine Lateral Raise 	Strength	Shoulders	N/A	Machine	Isolation	Beginner	Push
"Machine Preacher Curls A.K.A Machine Biceps Curls, Preacher Curl "	Strength	Biceps	N/A	Machine	Isolation	Beginner	Pull
"Machine Shoulder (Military) Press A.K.A Shoulder Press, Overhead Press "	Strength	Shoulders	Triceps	Machine	Compound	Beginner	Push
Machine Squat 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Machine	Compound	Intermediate	Push
Machine Triceps Extension 	Strength	Triceps	N/A	Machine	Isolation	Beginner	Push
Machine-Assisted Pull-Up 	Strength	Lats	"Biceps,MiddleBack"	Machine	Compound	Beginner	Pull
Man Maker 	Strength	MiddleBack	"Biceps,Triceps"	Dumbbell	Compound	Intermediate	Pull
Medicine Ball Chest Pass 	Plyometrics	Chest	"Shoulders,Triceps"	Medicine Ball	Compound	Beginner	Push
Medicine Ball Full Twist 	Plyometrics	Abdominals	Shoulders	Medicine Ball	Compound	Beginner	Pull
Medicine Ball Rotational Throw 	Strength	Abdominals	"LowerBack,Shoulders"	Medicine Ball	Compound	Beginner	Push
Medicine Ball Scoop Throw 	Plyometrics	Shoulders	"Abdominals,Hamstrings,Quadriceps"	Medicine Ball	Compound	Beginner	Push
Medicine-Ball Push-Up 	Strength	Chest	"Shoulders,Triceps"	Medicine Ball	Compound	Intermediate	Push
Middle Back Shrug A.K.A Scapular Retraction 	Strength	MiddleBack	N/A	Dumbbell	Isolation	Intermediate	Pull
Middle Back Stretch 	Stretching	MiddleBack	"Abdominals,Lats,LowerBack"	None	Isolation	Beginner	Static
"Mixed Grip Chin A.K.A Mixed Grip Pull-Up, Chin-Up "	Strength	MiddleBack	"Biceps,Lats"	Other	Compound	Expert	Pull
Monster Walk A.K.A Band Walk 	Strength	Abductors	N/A	Bands	Compound	Beginner	Pull
Mountain Climbers 	Plyometrics	Quadriceps	"Chest,Hamstrings,Shoulders"	None	Compound	Beginner	Pull
Moving Claw Series 	Plyometrics	Hamstrings	"Calves,Quadriceps"	None	Compound	Beginner	N/A
Muscle Snatch A.K.A snatch 	OlympicWeightlifting	Hamstrings	"Glutes,LowerBack,Quadriceps,Shoulders,Triceps"	Barbell	Compound	Intermediate	Pull
Muscle Up A.K.A Muscle-Up 	Strength	Lats	"Abdominals,Biceps,Forearms,MiddleBack,Shoulders,Traps,Triceps"	Other	Compound	Intermediate	Pull
Narrow Stance Hack Squats 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Machine	Compound	Intermediate	Push
Narrow Stance Leg Press 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Machine	Compound	Intermediate	Push
Narrow Stance Squats 	Strength	Quadriceps	"Calves,Glutes,Hamstrings,LowerBack"	Barbell	Compound	Intermediate	Push
"Natural Glute Ham Raise A.K.A Glute-Ham Raise, Leg Curl "	Strength	Hamstrings	"Calves,Glutes,LowerBack"	None	Compound	Intermediate	Pull
Neck Bridge Prone 	Strength	Neck	N/A	None	Isolation	Intermediate	Push
Neck Bridge Supine 	Strength	Glutes	Hamstrings	None	Isolation	Beginner	Push
"Neck Press A.K.A Clavicular Bench Press, Elbows-out Barbell Press, Guillotine Press "	Strength	Chest	"Shoulders,Triceps"	Barbell	Compound	Intermediate	Push
Neck-SMR A.K.A Levator Myofascial Release 	Stretching	Neck	N/A	Other	N/A	Intermediate	Static
Negative Pull-Up 	Strength	Lats	"Biceps,Forearms"	Other	Compound	Beginner	Pull
Neutral-Grip Pull Ups 	Strength	Lats	"Biceps,MiddleBack"	None	Compound	Intermediate	Pull
Oblique Cable Crunch 	Strength	Abdominals	N/A	Cable	Isolation	Intermediate	Pull
Oblique Crunches 	Strength	Abdominals	N/A	None	Isolation	Beginner	Pull
Oblique Crunches - On The Floor 	Strength	Abdominals	N/A	None	Isolation	Beginner	Pull
"Olympic Squat A.K.A High Bar Squat, Squat "	OlympicWeightlifting	Quadriceps	"Calves,Glutes,Hamstrings"	Barbell	Compound	Intermediate	Push
On Your Side Quad Stretch 	Stretching	Quadriceps	N/A	None	Isolation	Beginner	Static
On-Your-Back Quad Stretch 	Stretching	Quadriceps	N/A	Other	Isolation	Beginner	Static
One Arm Against Wall A.K.A Lat Stretch 	Stretching	Lats	N/A	None	Isolation	Beginner	Static
One Arm Chin-Up A.K.A One-Arm Chin 	Strength	MiddleBack	"Biceps,Forearms,Lats"	Other	Compound	Expert	Pull
"One Arm Dumbbell Bench Press A.K.A One-Arm Dumbbell Press, Single-Arm Dumbbell Press, Single Arm Dumbbell Press, Dumbbell Bench Press "	Strength	Chest	"Shoulders,Triceps"	Dumbbell	Compound	Beginner	Push
"One Arm Dumbbell Preacher Curl A.K.A One-Arm Preacher Curl, Single Arm Preacher Curl, Single-Arm Preacher Curl "	Strength	Biceps	N/A	Dumbbell	Isolation	Beginner	Pull
"One Arm Floor Press A.K.A One-Arm Floor Press, Single-Arm Floor Press, Floor Press "	Strength	Triceps	"Chest,Shoulders"	Barbell	Compound	Intermediate	Push
"One Arm Lat Pulldown A.K.A One-Arm Lat Pulldown, Single Arm Lat Pulldown, Single-Arm Pulldown "	Strength	Lats	"Biceps,MiddleBack"	Cable	Compound	Beginner	Pull
One Arm Pronated Dumbbell Triceps Extension A.K.A One-Arm Dumbbell Extension 	Strength	Triceps	N/A	Dumbbell	Isolation	Beginner	Push
"One Arm Supinated Dumbbell Triceps Extension A.K.A One-Arm Triceps Extension, Single-Arm Dumbbell Triceps Extension "	Strength	Triceps	N/A	Dumbbell	Isolation	Beginner	Push
One Half Locust 	Stretching	Quadriceps	"Abdominals,Biceps,Chest"	None	N/A	Beginner	Static
"One Handed Hang A.K.A One-Hand Hang, Hanging Lat Stretch "	Stretching	Lats	Biceps	Other	N/A	Beginner	Static
One Knee To Chest A.K.A Glute Stretch 	Stretching	Glutes	"Hamstrings,LowerBack"	None	Compound	Beginner	Static
"One Leg Barbell Squat A.K.A Bulgarian Split Squat, Single-Leg Squat, Rear Foot Elevated Split Squat "	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Barbell	Compound	Expert	Push
"One-Arm Dumbbell Row A.K.A Dumbbell Row, Chest-supported Row, Single Arm Row, Single-Arm Row, One Arm Dumbbell Row "	Strength	MiddleBack	"Biceps,Lats,Shoulders"	Dumbbell	Compound	Beginner	Pull
One-Arm Flat Bench Dumbbell Flye 	Strength	Chest	N/A	Dumbbell	Isolation	Beginner	Push
One-Arm High-Pulley Cable Side Bends 	Strength	Abdominals	N/A	Cable	Isolation	Beginner	Pull
One-Arm Incline Lateral Raise 	Strength	Shoulders	N/A	Dumbbell	Isolation	Beginner	Push
One-Arm Kettlebell Clean A.K.A Kettlebell Clean 	Strength	Hamstrings	"Glutes,LowerBack,Shoulders,Traps"	Kettlebells	Compound	Intermediate	Pull
One-Arm Kettlebell Clean and Jerk A.K.A Kettlebell Clean and Jerk 	Strength	Shoulders	N/A	Kettlebells	Compound	Intermediate	Push
One-Arm Kettlebell Floor Press A.K.A Floor Press 	Strength	Chest	Triceps	Kettlebells	Compound	Intermediate	Push
One-Arm Kettlebell Jerk A.K.A Kettlebell Jerk 	Strength	Shoulders	"Calves,Quadriceps,Triceps"	Kettlebells	Compound	Intermediate	Push
"One-Arm Kettlebell Military Press To The Side A.K.A Kettlebell Overhead Press, Single-Arm Kettlebell Shoulder Press "	Strength	Shoulders	Triceps	Kettlebells	Compound	Intermediate	Push
One-Arm Kettlebell Para Press 	Strength	Shoulders	Triceps	Kettlebells	Compound	Intermediate	Push
One-Arm Kettlebell Push Press A.K.A Push Press 	Strength	Shoulders	"Calves,Quadriceps,Triceps"	Kettlebells	Compound	Intermediate	Push
One-Arm Kettlebell Row A.K.A Bent Over Row 	Strength	MiddleBack	"Biceps,Lats"	Kettlebells	Compound	Intermediate	Pull
"One-Arm Kettlebell Snatch A.K.A snatch, Kettlebell Snatch "	Strength	Shoulders	"Calves,Glutes,Hamstrings,LowerBack,Traps,Triceps"	Kettlebells	Compound	Expert	Pull
One-Arm Kettlebell Split Jerk A.K.A Kettlebell Jerk 	Strength	Shoulders	"Glutes,Hamstrings,Quadriceps,Triceps"	Kettlebells	Compound	Intermediate	Push
One-Arm Kettlebell Split Snatch A.K.A Kettlebell Snatch 	Strength	Shoulders	"Hamstrings,Quadriceps"	Kettlebells	Compound	Expert	Pull
One-Arm Kettlebell Swings A.K.A Kettlebell Swing 	Strength	Hamstrings	"Calves,Glutes,LowerBack,Shoulders"	Kettlebells	Compound	Intermediate	Pull
One-Arm Long Bar Row A.K.A One-Arm T-Bar Row 	Strength	MiddleBack	"Biceps,Lats"	Barbell	Compound	Beginner	Pull
One-Arm Medicine Ball Slam 	Strength	Abdominals	"Lats,Shoulders"	Medicine Ball	Compound	Beginner	Pull
One-Arm Open Palm Kettlebell Clean A.K.A Kettlebell Clean 	Strength	Hamstrings	"Forearms,Glutes,LowerBack,Quadriceps,Shoulders"	Kettlebells	Compound	Intermediate	Pull
One-Arm Overhead Kettlebell Squats A.K.A Overhead Squat 	Strength	Quadriceps	"Calves,Glutes,Hamstrings,Shoulders"	Kettlebells	Compound	Expert	Push
One-Arm Plank Dumbbell Biceps Curl 	Strength	Biceps	"Abdominals,Shoulders,Triceps"	Dumbbell	Compound	Beginner	Pull
One-Arm Push-Up 	Strength	Chest	"Shoulders,Triceps"	None	Compound	Intermediate	Push
One-Arm Side Deadlift A.K.A Suitcase Deadlift 	Strength	Quadriceps	"Abdominals,Calves,Glutes,Hamstrings,LowerBack,Traps"	Barbell	Compound	Expert	Pull
One-Arm Side Laterals A.K.A Lateral Raise 	Strength	Shoulders	N/A	Dumbbell	Isolation	Beginner	Push
One-Legged Cable Kickback A.K.A Cable Hip Extension 	Strength	Glutes	Hamstrings	Cable	Isolation	Intermediate	Push
Open Palm Kettlebell Clean A.K.A Kettlebell Clean 	Strength	Hamstrings	"Glutes,LowerBack,Quadriceps,Shoulders"	Kettlebells	Compound	Expert	Pull
Otis-Up 	Strength	Abdominals	"Chest,Shoulders,Triceps"	Other	Compound	Beginner	Pull
Overhead Cable Curl 	Strength	Biceps	N/A	Cable	Isolation	Intermediate	Pull
Overhead Lat A.K.A Lat Stretch 	Stretching	Lats	Triceps	Other	N/A	Expert	Static
Overhead Slam A.K.A Medicine Ball Slam 	Plyometrics	Lats	N/A	Medicine Ball	Compound	Beginner	Pull
Overhead Squat 	OlympicWeightlifting	Quadriceps	"Abdominals,Calves,Glutes,Hamstrings,LowerBack,Shoulders,Triceps"	Barbell	Compound	Expert	Push
Overhead Stretch 	Stretching	Abdominals	"Chest,Forearms,Lats,Triceps"	None	Compound	Beginner	Static
Overhead Triceps A.K.A Triceps Stretch 	Stretching	Triceps	Lats	None	N/A	Expert	Static
Pallof Press A.K.A Pallof Press ISO 	Strength	Abdominals	"Chest,Shoulders,Triceps"	Cable	Isolation	Beginner	Pull
Pallof Press With Rotation 	Strength	Abdominals	"Chest,Shoulders,Triceps"	Cable	Compound	Beginner	Pull
Palms-Down Dumbbell Wrist Curl Over A Bench 	Strength	Forearms	N/A	Dumbbell	Isolation	Beginner	Pull
Palms-Down Wrist Curl Over A Bench 	Strength	Forearms	N/A	Barbell	Isolation	Beginner	Pull
Palms-Up Barbell Wrist Curl Over A Bench 	Strength	Forearms	N/A	Barbell	Isolation	Beginner	Pull
Palms-Up Dumbbell Wrist Curl Over A Bench 	Strength	Forearms	N/A	Dumbbell	Isolation	Beginner	Pull
Parallel Bar Dip A.K.A Triceps Dip 	Strength	Triceps	"Chest,Shoulders"	Other	Compound	Beginner	Push
Partner 3-Touch Motion Russian Twist 	Strength	Abdominals	LowerBack	Medicine Ball	Compound	Beginner	Push
Partner Facing Feet-Elevated Side Plank With Band Row 	Strength	MiddleBack	"Abdominals,Biceps,Lats,Shoulders"	Bands	Compound	Expert	Pull
Partner Facing Plank With Band Row 	Strength	MiddleBack	"Abdominals,Biceps,Lats,Shoulders"	Bands	Compound	Intermediate	Pull
Partner Facing Planks With Alternating High-Five 	Strength	Abdominals	"LowerBack,Shoulders"	None	Isolation	Beginner	Static
Partner Facing Side Plank With Band Row 	Strength	MiddleBack	"Abdominals,Biceps,Lats,Quadriceps"	Bands	Compound	Intermediate	Pull
Partner Farmer's Walk Competition 	Strength	Forearms	"Abdominals,Glutes,Hamstrings,LowerBack,Quadriceps,Traps"	Dumbbell	Compound	Intermediate	N/A
Partner Flat-Bench Back Extension 	Strength	LowerBack	"Glutes,Hamstrings"	Other	Compound	Intermediate	Pull
Partner Flat-Bench Back Extension With Hold 	Strength	LowerBack	"Glutes,Hamstrings"	Other	Compound	Intermediate	Pull
Partner Hanging Knee Raise With Manual Resistance 	Strength	Abdominals	N/A	None	Compound	Intermediate	Pull
Partner Hanging Knee Raise With Throw Down 	Strength	Abdominals	N/A	None	Compound	Intermediate	Pull
Partner Lying Leg Raise With Lateral Throw Down 	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Partner Lying Leg Raise With Throw Down 	Strength	Abdominals	N/A	None	Compound	Beginner	Push
Partner Resistance Standing Twist 	Strength	Abdominals	N/A	None	Compound	Beginner	Push
Partner Side-To-Side Russian Twist & Pass 	Strength	Abdominals	LowerBack	Medicine Ball	Compound	Beginner	Push
Partner Sit-Up With High-Five 	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Partner Suitcase Carry Competition 	Strength	Forearms	"Abdominals,Glutes,Hamstrings,LowerBack,Quadriceps,Traps"	Barbell	Compound	Intermediate	N/A
Partner Supermans With Alternating High-Five 	Strength	LowerBack	"Glutes,Hamstrings"	None	Compound	Beginner	Static
Partner Target Sit-Up 	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Pelvic Tilt Into Bridge 	Stretching	LowerBack	N/A	None	Compound	Intermediate	Static
Pendlay Rown 	Strength	MiddleBack	"Biceps,Lats,Shoulders"	Barbell	Compound	Intermediate	Pull
Peroneals Stretch 	Stretching	Calves	N/A	Other	N/A	Intermediate	Static
"Peroneals-SMR A.K.A Foam Roll Peroneals, Myofascial Release Peroneals "	Stretching	Calves	N/A	Foam Roll	N/A	Intermediate	Static
Physioball Hip Bridge A.K.A Stability Ball Hip Bridge 	Strength	Glutes	Hamstrings	Exercise Ball	Compound	Beginner	Push
Pin Presses A.K.A Bottoms Up Bench Press 	Powerlifting	Triceps	"Chest,Forearms,Lats,MiddleBack,Shoulders"	Barbell	Compound	Intermediate	Push
"Piriformis-SMR A.K.A Foam Roll Piriformis, Myofascial Release Piriformis, Foam Roll Glutes "	Stretching	Glutes	N/A	Foam Roll	Isolation	Intermediate	Static
Pistol Squat A.K.A One-Legged Squat 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Intermediate	Push
Plank A.K.A Prone Iso Abs 	Strength	Abdominals	N/A	None	Isolation	Beginner	Static
Plank with Twist 	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Plate Pinch 	Strength	Forearms	N/A	Other	Isolation	Intermediate	Static
Plate Row 	Strength	MiddleBack	"Biceps,Lats,Shoulders"	Barbell	Compound	Beginner	Pull
Plate Shoulder Circle Big To Small Rotation 	Strength	Shoulders	Traps	Other	Isolation	Beginner	Push
Plate Twist 	Strength	Abdominals	N/A	Other	Compound	Intermediate	Pull
Platform Hamstring Slides 	Strength	Hamstrings	Glutes	Other	Isolation	Beginner	Pull
Plie Dumbbell Squat A.K.A Sumo Dumbbell Squat 	Strength	Quadriceps	"Abdominals,Calves,Glutes,Hamstrings"	Dumbbell	Compound	Beginner	Push
Plyo Kettlebell Pushups A.K.A Plyometric Push-up 	Strength	Chest	"Shoulders,Triceps"	Kettlebells	Compound	Expert	Push
Plyo Push-up A.K.A Plyometric Push-up 	Plyometrics	Chest	"Shoulders,Triceps"	None	Compound	Beginner	Push
Pop Squat 	Plyometrics	Quadriceps	"Abductors,Adductors,Calves,Glutes,Hamstrings"	None	Compound	Beginner	Push
Posterior Tibialis Stretch 	Stretching	Calves	N/A	Other	N/A	Intermediate	Static
Power Clean 	Strength	Hamstrings	"Calves,Forearms,Glutes,LowerBack,MiddleBack,Quadriceps,Shoulders,Traps,Triceps"	Barbell	Compound	Intermediate	Pull
Power Clean from Blocks A.K.A Power Clean from Boxes 	OlympicWeightlifting	Hamstrings	Quadriceps	Barbell	Compound	Intermediate	Pull
Power Jerk A.K.A Push Jerk 	OlympicWeightlifting	Quadriceps	"Abdominals,Calves,Glutes,Hamstrings,Shoulders,Triceps"	Barbell	Compound	Expert	Push
Power Partials A.K.A Dumbbell Lateral Raise 	Strength	Shoulders	N/A	Dumbbell	Isolation	Beginner	Push
Power Snatch A.K.A Hang Power Snatch 	OlympicWeightlifting	Hamstrings	"Calves,Glutes,LowerBack,Quadriceps,Shoulders,Traps,Triceps"	Barbell	Compound	Expert	Pull
Power Snatch from Blocks A.K.A Power Snatch from Boxes 	OlympicWeightlifting	Quadriceps	"Calves,Forearms,Glutes,Hamstrings,LowerBack,Shoulders,Traps,Triceps"	Barbell	Compound	Intermediate	Pull
Power Stairs A.K.A Power Stair Trainer 	Strongman	Hamstrings	"Adductors,Calves,Glutes,LowerBack,Quadriceps,Shoulders,Traps"	Other	Compound	Intermediate	Pull
Preacher Curl 	Strength	Biceps	N/A	Barbell	Isolation	Beginner	Pull
Preacher Hammer Dumbbell Curl A.K.A Neutral Grip Preacher Curl 	Strength	Biceps	Forearms	Dumbbell	Isolation	Beginner	Pull
Press Sit-Up 	Strength	Abdominals	"Chest,Shoulders,Triceps"	Barbell	Compound	Expert	Push
Prone Manual Hamstring 	Strength	Hamstrings	N/A	None	Isolation	Beginner	Static
Prowler Sprint A.K.A Sled Push 	Cardio	Hamstrings	"Calves,Chest,Glutes,Quadriceps,Shoulders"	Other	Compound	Beginner	Push
Pull Through 	Strength	Glutes	"Hamstrings,LowerBack"	Cable	Compound	Beginner	Pull
"Pullups A.K.A Pull-Up, Pull Up "	Strength	Lats	"Biceps,MiddleBack"	None	Compound	Beginner	Pull
